driverId,avg_change,consistency,avg_finish,avg_qual,cluster,db_cluster,cluster_name
40,1.9090909090909092,4.9488290626075475,16.0,17.90909090909091,1,0,Race Improvers
41,2.5454545454545454,6.137811277053675,13.0,15.545454545454545,1,0,Race Improvers
42,0.2,4.287067455548262,12.9,13.1,1,0,Race Improvers
43,-0.6071428571428571,4.54067449479974,12.107142857142858,11.5,0,0,Underperformers
44,0.30434782608695654,6.857640529798081,11.684782608695652,11.98913043478261,0,0,Underperformers
45,0.9285714285714286,2.6736401493753132,16.142857142857142,17.071428571428573,2,0,Consistent Climbers
46,2.0,2.6346112560657287,16.666666666666668,18.666666666666668,2,0,Consistent Climbers
47,3.25,3.3853399114105915,15.3,18.55,2,0,Consistent Climbers
48,5.3,5.207899981971833,11.7,17.0,1,0,Race Improvers
49,-2.580246913580247,7.518085190942679,11.617283950617283,9.037037037037036,0,0,Underperformers
50,0.9298245614035088,6.521556697168703,14.929824561403509,15.859649122807017,1,0,Race Improvers
51,2.625,3.8100743649785453,14.5625,17.1875,1,0,Race Improvers
52,2.7857142857142856,3.49017459181037,14.214285714285714,17.0,1,0,Race Improvers
53,6.6,2.701851217221259,12.8,19.4,2,-1,Consistent Climbers
55,-2.5483870967741935,8.048373054928938,10.016129032258064,7.467741935483871,0,0,Underperformers
56,-3.171875,7.769608450635751,11.4375,8.265625,0,0,Underperformers
57,-3.8870967741935485,7.983804998418755,9.935483870967742,6.048387096774194,0,0,Underperformers
58,1.2,4.969909455915671,18.4,19.6,2,0,Consistent Climbers
59,1.5,6.363961030678928,16.0,17.5,1,0,Race Improvers
60,7.5,1.0,14.0,21.5,2,-1,Consistent Climbers
62,4.0,1.0,17.333333333333332,21.333333333333332,2,-1,Consistent Climbers
63,3.12,6.551647245743093,12.06,15.18,1,0,Race Improvers
64,4.854166666666667,5.996415891688908,14.3125,19.166666666666668,1,0,Race Improvers
65,0.1111111111111111,8.477886055575773,11.666666666666666,11.777777777777779,0,-1,Underperformers
66,5.0,9.899494936611665,13.5,18.5,1,-1,Race Improvers
67,0.05454545454545454,5.458320803440009,14.327272727272728,14.381818181818181,1,0,Race Improvers
68,3.0,5.868938953886337,14.0,17.0,1,0,Race Improvers
69,4.56,6.000555529837772,13.72,18.28,1,0,Race Improvers
70,1.0,7.071067811865475,17.23076923076923,18.23076923076923,1,0,Race Improvers
71,-2.9322033898305087,6.835163663201265,8.305084745762711,5.372881355932203,0,0,Underperformers
73,4.3076923076923075,4.230536124114283,15.538461538461538,19.846153846153847,2,0,Consistent Climbers
74,4.142857142857143,3.1320159337914952,15.285714285714286,19.428571428571427,2,0,Consistent Climbers
