driverId,avg_gain,gain_pct,volatility,p10_gain,p90_gain,avg_qual,avg_finish,gain_per_qual_rank,teammate_delta_avg,race_count,year,forename,surname,driver_name,pca1,pca2,cluster,cluster_name,dbscan_cluster,era
10,2.2666666666666666,0.6,5.391351098441528,-4.6,9.2,10.933333333333334,8.666666666666666,0.2073170731707317,0.0,15,2009,Timo,Glock,T. Glock,1.6194564616669387,1.127765392028167,2,Consistent Climbers,0,1994–2009
12,0.6,0.6,3.5023801430836525,-3.4,4.1,14.6,14.0,0.0410958904109589,0.0,10,2009,Nelson,Piquet Jr.,N. Piquet Jr.,0.9111940392099535,-1.0427712253680739,0,Midfield Stabilizers,0,1994–2009
13,-1.2,0.5,6.390965845976995,-9.1,7.0,8.9,10.1,-0.1348314606741573,0.0,10,2009,Felipe,Massa,F. Massa,-0.5535631597742615,1.0428098231938772,0,Midfield Stabilizers,0,1994–2009
15,-2.5294117647058822,0.35294117647058826,6.874933154755247,-14.0,5.0,8.0,10.529411764705882,-0.3161764705882353,0.0,17,2009,Jarno,Trulli,J. Trulli,-2.1564932170107585,0.897784047234664,1,Volatile Drivers,0,1994–2009
16,-1.2352941176470589,0.4117647058823529,5.437478870817636,-8.4,2.0,13.588235294117647,14.823529411764707,-0.09090909090909091,0.0,17,2009,Adrian,Sutil,A. Sutil,-1.113595819632189,-0.6559344520463578,0,Midfield Stabilizers,0,1994–2009
17,-0.11764705882352941,0.5882352941176471,4.794298083937528,-5.199999999999999,3.0,7.0588235294117645,7.176470588235294,-0.016666666666666666,0.0,17,2009,Mark,Webber,M. Webber,0.13398150904327039,-0.7034500347079679,0,Midfield Stabilizers,0,1994–2009
18,1.2352941176470589,0.47058823529411764,3.133077795170148,-2.0,5.200000000000001,5.588235294117647,4.352941176470588,0.2210526315789474,0.0,17,2009,Jenson,Button,J. Button,1.2840704035251314,-1.0690957741739373,2,Consistent Climbers,0,1994–2009
20,-3.0,0.35294117647058826,7.729812416870153,-14.4,3.200000000000001,3.8823529411764706,6.882352941176471,-0.7727272727272727,0.0,17,2009,Sebastian,Vettel,S. Vettel,-3.1611957465594545,0.7145406217920984,1,Volatile Drivers,0,1994–2009
21,4.176470588235294,0.8235294117647058,2.789159687917829,-0.3999999999999999,7.0,16.58823529411765,12.411764705882353,0.25177304964539005,0.0,17,2009,Giancarlo,Fisichella,G. Fisichella,3.1340590967727975,-0.4939730158097138,2,Consistent Climbers,0,1994–2009
22,-1.3529411764705883,0.35294117647058826,4.595394113547121,-5.199999999999999,2.4000000000000004,4.0588235294117645,5.411764705882353,-0.33333333333333337,0.0,17,2009,Rubens,Barrichello,R. Barrichello,-1.0154066400905224,-1.2389480749450532,0,Midfield Stabilizers,0,1994–2009
24,1.2,0.8,6.457553716385176,-5.199999999999999,5.6,15.6,14.4,0.07692307692307693,0.0,5,2009,Vitantonio,Liuzzi,V. Liuzzi,1.00294835913584,0.8348020286798415,2,Consistent Climbers,0,1994–2009
67,0.0,0.5294117647058824,4.924428900898052,-6.6,4.800000000000001,14.411764705882353,14.411764705882353,0.0,0.0,17,2009,Sébastien,Buemi,S. Buemi,0.11633734268679083,-0.15956278209817848,0,Midfield Stabilizers,0,1994–2009
153,-0.125,0.5,3.563204817496262,-3.5999999999999996,3.5999999999999996,16.875,17.0,-0.007407407407407408,0.0,8,2009,Jaime,Alguersuari,J. Alguersuari,0.39828698175476257,-1.2420835243311483,0,Midfield Stabilizers,0,1994–2009
154,-0.14285714285714285,0.42857142857142855,1.6761634196950517,-1.7999999999999998,1.4000000000000004,16.285714285714285,16.428571428571427,-0.008771929824561403,0.0,7,2009,Romain,Grosjean,R. Grosjean,0.4640100638808304,-2.721665922871794,0,Midfield Stabilizers,0,1994–2009
1,-1.5263157894736843,0.5263157894736842,7.9538140470303205,-15.2,4.199999999999999,4.894736842105263,6.421052631578948,-0.31182795698924737,0.0,19,2010,Lewis,Hamilton,L. Hamilton,-1.9788329962073736,1.4050733417166017,1,Volatile Drivers,0,2010+
2,1.2,0.6,3.03315017762062,-2.2,3.6,13.8,12.6,0.08695652173913043,0.0,5,2010,Nick,Heidfeld,N. Heidfeld,1.215185055794012,-1.4067331353758434,2,Consistent Climbers,0,2010+
3,-0.9473684210526315,0.631578947368421,6.963984206141755,-11.2,5.199999999999999,7.315789473684211,8.263157894736842,-0.12949640287769784,0.0,19,2010,Nico,Rosberg,N. Rosberg,-0.7415535537445426,1.109804322105819,0,Midfield Stabilizers,0,2010+
4,0.47368421052631576,0.5789473684210527,6.104355649430727,-5.3999999999999995,4.399999999999999,5.894736842105263,5.421052631578948,0.08035714285714286,0.0,19,2010,Fernando,Alonso,F. Alonso,0.25985987119950477,0.21304645336713549,0,Midfield Stabilizers,0,2010+
5,2.3157894736842106,0.6842105263157895,3.888053377247731,-3.0,7.199999999999999,19.31578947368421,17.0,0.11989100817438694,0.0,19,2010,Heikki,Kovalainen,H. Kovalainen,1.890832305763706,-0.025067858756395285,2,Consistent Climbers,0,2010+
9,-1.3157894736842106,0.5263157894736842,6.5494073657167835,-13.4,3.599999999999998,7.0,8.31578947368421,-0.1879699248120301,0.0,19,2010,Robert,Kubica,R. Kubica,-1.4557552359117547,0.6013832518412165,0,Midfield Stabilizers,0,2010+
10,1.0526315789473684,0.631578947368421,3.5035487439408612,-1.7999999999999998,4.399999999999999,19.842105263157894,18.789473684210527,0.05305039787798409,0.0,19,2010,Timo,Glock,T. Glock,1.2772079911032663,-1.0399106235610307,2,Consistent Climbers,0,2010+
