driverId,avg_gain,gain_pct,volatility,p10_gain,p90_gain,avg_qual,avg_finish,gain_per_qual_rank,race_count,year,cluster,cluster_name
8,-2.611111111111111,0.4444444444444444,8.218622246702115,-12.6,6.900000000000002,8.38888888888889,11.0,-0.31125827814569534,18,2004,1,Volatile Drivers
11,-2.3333333333333335,0.2777777777777778,5.530663187549722,-10.2,3.6000000000000014,7.722222222222222,10.055555555555555,-0.302158273381295,18,2004,1,Volatile Drivers
13,2.9444444444444446,0.7777777777777778,4.783208647688314,-4.0,8.900000000000002,13.61111111111111,10.666666666666666,0.2163265306122449,18,2004,2,Underperformers
14,-0.3888888888888889,0.5555555555555556,4.552166761249221,-8.3,4.0,9.555555555555555,9.944444444444445,-0.040697674418604654,18,2004,0,Consistent Climbers
15,-1.4705882352941178,0.4117647058823529,6.9472804666540515,-10.0,3.4000000000000004,6.823529411764706,8.294117647058824,-0.21551724137931036,17,2004,0,Consistent Climbers
17,-2.5555555555555554,0.4444444444444444,7.5710145580304165,-13.5,6.0,10.0,12.555555555555555,-0.25555555555555554,18,2004,1,Volatile Drivers
18,-0.6111111111111112,0.5,4.766783215358364,-4.099999999999999,3.0,5.0,5.611111111111111,-0.12222222222222223,18,2004,0,Consistent Climbers
21,3.7222222222222223,0.6666666666666666,5.333639697083095,-0.2999999999999998,10.900000000000002,12.5,8.777777777777779,0.2977777777777778,18,2004,2,Underperformers
22,0.6666666666666666,0.3333333333333333,3.1436209919735028,-2.5999999999999996,5.0,4.666666666666667,4.0,0.14285714285714285,18,2004,0,Consistent Climbers
23,-5.583333333333333,0.16666666666666666,6.556860852757533,-12.9,1.8000000000000007,5.166666666666667,10.75,-1.0806451612903225,12,2004,1,Volatile Drivers
30,0.8333333333333334,0.4444444444444444,2.727851988394575,0.0,3.6000000000000014,3.4444444444444446,2.611111111111111,0.24193548387096775,18,2004,0,Consistent Climbers
31,-1.5,0.3888888888888889,6.031778588540569,-10.899999999999999,6.0,5.777777777777778,7.277777777777778,-0.25961538461538464,18,2004,0,Consistent Climbers
32,0.8333333333333334,0.6111111111111112,3.4852630924407144,-4.0,4.200000000000003,13.944444444444445,13.11111111111111,0.05976095617529881,18,2004,0,Consistent Climbers
41,0.8,0.4,5.805170109479997,-4.2,6.800000000000001,15.0,14.2,0.05333333333333334,5,2004,0,Consistent Climbers
43,-2.0833333333333335,0.3333333333333333,4.907477288111819,-7.9,1.0,11.833333333333334,13.916666666666666,-0.17605633802816903,12,2004,0,Consistent Climbers
44,-1.7058823529411764,0.4117647058823529,4.71387189423876,-7.4,3.8000000000000007,11.352941176470589,13.058823529411764,-0.15025906735751293,17,2004,0,Consistent Climbers
45,0.9285714285714286,0.6428571428571429,2.6736401493753132,-1.7,4.400000000000002,17.071428571428573,16.142857142857142,0.05439330543933054,14,2004,2,Underperformers
46,2.0,0.7777777777777778,2.6346112560657287,-2.0,6.0,18.666666666666668,16.666666666666668,0.10714285714285714,18,2004,2,Underperformers
47,3.0555555555555554,0.7777777777777778,3.455127855337921,0.0,8.600000000000001,18.555555555555557,15.5,0.1646706586826347,18,2004,2,Underperformers
2,-1.2142857142857142,0.42857142857142855,6.840811596346101,-12.0,6.700000000000001,9.642857142857142,10.857142857142858,-0.1259259259259259,14,2005,0,Consistent Climbers
4,0.42105263157894735,0.47368421052631576,5.5908237265648495,-5.0,5.9999999999999964,4.052631578947368,3.6315789473684212,0.1038961038961039,19,2005,0,Consistent Climbers
